0	1051
0	3516
0	393
0	2106
0	480
0	2311
1	685
1	2316
1	1604
2	1700
2	3001
2	574
2	1834
2	3285
2	2264
3	2226
3	2948
3	2951
3	2073
3	1056
3	3566
4	1909
4	441
4	1194
4	1791
4	2821
5	1295
5	1995
5	3471
5	272
5	1405
5	1392
6	2086
6	3609
6	3287
6	1464
7	1305
7	2934
7	2151
7	3141
7	1347
7	726
8	3555
8	3544
8	2081
8	2605
8	3128
8	1468
9	1467
9	514
9	2074
9	1496
9	3574
9	771
10	1175
10	3565
10	114
10	2185
10	2217
10	1057
11	641
11	1066
11	2335
11	896
11	3172
11	2159
12	3357
12	604
12	2408
12	1271
12	2861
12	1190
13	1269
13	2062
13	3224
13	3189
13	330
13	1767
14	130
14	411
14	2207
14	3411
14	132
14	691
15	2554
15	1102
15	2502
15	3390
15	1705
15	1458
16	334
16	800
16	221
16	1877
16	2177
16	2307
17	2282
17	2090
17	1871
17	1912
17	2330
17	3271
18	3429
18	786
18	3330
19	2473
19	2763
19	2507
19	1524
19	2308
19	3185
20	741
20	2836
20	2156
20	75
20	2985
20	2825
21	1258
21	585
21	62
21	1662
21	338
21	600
22	924
22	2250
22	3261
22	535
23	1967
23	2477
23	2689
23	1563
23	2702
23	3342
24	2698
24	2109
24	209
24	1191
24	2524
24	1560
25	2069
25	2080
25	1782
25	70
25	139
25	2216
26	1091
26	2979
26	1575
26	2976
26	2034
26	1333
27	276
27	1841
27	2241
27	582
27	1929
27	1754
28	782
28	2917
28	2891
28	3604
28	348
28	2461
29	3403
29	305
29	1416
29	3308
29	966
29	479
30	1322
30	613
30	1948
30	1552
30	2472
30	2077
31	671
31	1358
31	1676
31	643
31	2943
31	3599
32	318
32	887
32	3342
32	3538
32	3381
32	3352
33	2103
33	2553
33	2780
33	3332
33	2369
33	604
34	1401
34	3343
34	1752
34	157
34	3154
34	3269
35	378
35	2296
35	2150
35	1015
35	1401
35	1478
36	1588
36	51
36	2581
36	1028
36	579
36	673
37	1585
37	3006
37	2575
37	3209
38	3445
38	2640
38	3185
38	409
38	849
38	1706
39	987
39	1180
39	695
39	742
39	1646
39	2161
40	2667
40	168
40	2222
40	3126
40	2815
40	504
41	1066
41	541
41	3057
41	1458
41	1431
41	1412
42	1105
42	3552
42	3295
42	3413
42	1810
42	2585
43	3024
43	2157
43	3015
43	1449
43	899
43	1202
44	3345
44	2165
44	287
44	1742
44	3429
44	2988
45	458
45	1080
45	3143
45	1153
45	1723
45	1003
46	2968
46	388
46	923
46	1990
46	1391
46	1557
47	564
47	764
47	992
47	344
47	1073
47	2424
48	2944
48	3528
48	2847
48	2604
48	688
48	2414
49	298
49	3358
49	2334
49	706
49	2739
49	2141
50	1627
50	1873
50	1058
50	3570
50	2993
50	1514
51	902
51	1166
51	1063
51	2581
51	1028
52	2731
52	2022
52	3398
52	724
52	154
52	1385
53	919
53	645
53	1424
53	2230
53	2723
53	2186
54	1455
54	1181
54	1146
54	2499
54	634
54	1095
55	3546
55	616
55	968
55	609
55	2958
55	74
56	2911
56	684
56	3590
56	171
56	1288
56	3549
57	1369
57	3256
57	1442
57	1583
57	1940
57	3289
58	1887
58	1608
58	979
58	329
58	2018
58	1655
59	2829
59	2881
59	237
59	1838
59	1274
59	120
60	98
60	2212
60	508
60	1643
60	1109
60	1082
61	996
61	1218
61	1404
61	1344
61	2083
61	376
62	585
62	3183
62	600
62	847
62	3072
63	2599
63	2892
63	400
63	1432
63	537
63	2890
64	1867
64	2273
64	3607
64	3045
64	3252
64	2162
65	517
65	2400
65	857
65	388
65	3039
65	115
66	2894
66	2832
66	3499
66	2522
66	1900
66	1937
67	1862
67	3374
67	1586
67	3201
67	1922
67	3166
68	362
68	1342
68	1127
68	185
68	1654
68	3019
69	575
69	1268
69	1308
70	526
70	1782
70	2216
70	2772
70	895
71	1376
71	1181
71	2247
71	1113
72	2531
72	3214
72	2237
72	1539
72	2976
72	1032
73	186
73	1541
73	885
73	2787
73	2317
73	3092
74	3546
74	609
74	998
74	1954
74	3109
75	1430
75	2156
75	870
75	2825
75	211
76	2515
76	851
76	2375
76	430
76	426
76	3053
77	1081
77	1204
77	558
77	1868
77	2714
77	2006
78	2390
78	345
78	2123
78	3046
78	3297
78	2885
79	1582
79	1158
79	2627
79	2899
79	2011
79	2079
80	829
80	1534
80	566
80	1263
80	477
80	2931
81	378
81	3532
81	2251
81	945
81	3144
81	2150
82	1045
82	3321
82	2399
82	891
82	259
82	2523
83	1897
83	402
83	1692
83	2715
83	1013
83	1363
84	838
84	3154
84	714
84	434
84	1402
84	3428
85	681
85	2748
85	316
85	1675
85	1783
85	3262
86	2737
86	468
86	230
86	1234
87	3284
87	2586
87	1648
87	2002
87	2379
87	1789
88	1825
88	1729
88	137
88	792
88	3454
88	1652
89	1895
89	636
89	2951
